time,open,high,low,close
2026-07-14T21:29:00-05:00,29967.25,29968.25,29961.75,29966.75
2026-07-14T21:30:00-05:00,29970,29974.5,29966.5,29968.5
2026-07-14T21:31:00-05:00,29971,29975,29967.75,29972.5
2026-07-14T21:32:00-05:00,29973.5,29977.75,29971.25,29975.5
2026-07-14T21:33:00-05:00,29975.75,29980,29975,29979.75
2026-07-14T21:34:00-05:00,29978.75,29981.5,29972,29973.5
2026-07-14T21:35:00-05:00,29973.75,29977.25,29970,29977.25
2026-07-14T21:36:00-05:00,29978.25,29981.25,29976.25,29980.75
2026-07-14T21:37:00-05:00,29979.75,29982,29977.75,29980.25
2026-07-14T21:38:00-05:00,29979.5,29985.5,29977,29978.5
2026-07-14T21:39:00-05:00,29977.5,29983.25,29975.75,29981.5
2026-07-14T21:40:00-05:00,29981.75,29985.5,29980,29985.5
2026-07-14T21:41:00-05:00,29985.75,29985.75,29978.25,29978.25
2026-07-14T21:42:00-05:00,29978.25,29983.5,29978.25,29982
2026-07-14T21:43:00-05:00,29983,29984,29980.5,29984
2026-07-14T21:44:00-05:00,29981.75,29984.25,29981.75,29983
2026-07-14T21:45:00-05:00,29984,29984.5,29981,29981.75
2026-07-14T21:46:00-05:00,29982.25,29987.25,29982.25,29983.75
2026-07-14T21:47:00-05:00,29983,29986,29976.75,29978
2026-07-14T21:48:00-05:00,29979,29983,29976.75,29981.5
2026-07-14T21:49:00-05:00,29981.75,29983.75,29977.5,29978
2026-07-14T21:50:00-05:00,29978.5,29979.5,29966.75,29971
2026-07-14T21:51:00-05:00,29970.75,29971,29964.5,29965.25
2026-07-14T21:52:00-05:00,29964.25,29971.25,29964,29970.75
2026-07-14T21:53:00-05:00,29968.5,29969.5,29966.5,29968
2026-07-14T21:54:00-05:00,29968.75,29969.5,29968,29968.25
2026-07-14T21:55:00-05:00,29969,29975.5,29969,29975.5
2026-07-14T21:56:00-05:00,29974.75,29978.25,29969.25,29972.25
2026-07-14T21:57:00-05:00,29973.25,29973.25,29965.5,29967.5
2026-07-14T21:58:00-05:00,29965,29967.25,29962,29964.25
2026-07-14T21:59:00-05:00,29965.25,29966.25,29959,29960.75
2026-07-14T22:00:00-05:00,29961,29962,29956,29957.5
2026-07-14T22:01:00-05:00,29960,29963,29959.25,29960
2026-07-14T22:02:00-05:00,29959.25,29967.75,29959.25,29967
2026-07-14T22:03:00-05:00,29967.75,29967.75,29957.25,29957.5
2026-07-14T22:04:00-05:00,29958.25,29964,29957.25,29964
2026-07-14T22:05:00-05:00,29961.5,29961.5,29955.25,29957
2026-07-14T22:06:00-05:00,29957.75,29959.75,29955.25,29959.25
2026-07-14T22:07:00-05:00,29959.5,29964,29955,29956
2026-07-14T22:08:00-05:00,29956,29957.5,29953.5,29956.5
2026-07-14T22:09:00-05:00,29955.75,29958.75,29955.75,29957.5
2026-07-14T22:10:00-05:00,29958.75,29959,29951.5,29953
2026-07-14T22:11:00-05:00,29954.25,29954.5,29947.5,29948.25
2026-07-14T22:12:00-05:00,29948.75,29954,29947.25,29951.25
2026-07-14T22:13:00-05:00,29951.25,29959.25,29950,29956
2026-07-14T22:14:00-05:00,29955.5,29960.25,29953.75,29960
2026-07-14T22:15:00-05:00,29959.5,29960.75,29955,29958.75
2026-07-14T22:16:00-05:00,29957.75,29974.25,29957,29972.25
2026-07-14T22:17:00-05:00,29973.25,29981,29970.5,29976
2026-07-14T22:18:00-05:00,29975,29978.25,29973.5,29974.25
2026-07-14T22:19:00-05:00,29974.25,29978.5,29970.5,29977.5
2026-07-14T22:20:00-05:00,29979.25,29980.5,29976,29976
2026-07-14T22:21:00-05:00,29976.25,29978.25,29971.75,29971.75
2026-07-14T22:22:00-05:00,29971.25,29974.5,29968,29972.25
2026-07-14T22:23:00-05:00,29972.75,29975.75,29971.25,29971.25
2026-07-14T22:24:00-05:00,29970.25,29972.5,29968.25,29969.25
2026-07-14T22:25:00-05:00,29969.5,29976,29969.25,29972.75
2026-07-14T22:26:00-05:00,29974,29975.25,29971,29974.5
2026-07-14T22:27:00-05:00,29972.5,29981.25,29972.25,29981.25
2026-07-14T22:28:00-05:00,29981,29983,29979,29982
2026-07-14T22:29:00-05:00,29981.25,29985,29978.25,29978.5
2026-07-14T22:30:00-05:00,29979,29992,29977.25,29987.25
2026-07-14T22:31:00-05:00,29986.5,29988.75,29982.75,29985.5
2026-07-14T22:32:00-05:00,29983.25,29990,29983,29989.25
2026-07-14T22:33:00-05:00,29989,29996.5,29988.75,29996.25
2026-07-14T22:34:00-05:00,29993.75,29997.25,29993,29996.25
2026-07-14T22:35:00-05:00,29995,29998,29991.75,29994.25
2026-07-14T22:36:00-05:00,29995.25,29995.25,29991.25,29993
2026-07-14T22:37:00-05:00,29995.75,29995.75,29992,29992.25
2026-07-14T22:38:00-05:00,29992,29998.5,29992,29997.75
2026-07-14T22:39:00-05:00,29997.25,29997.25,29992,29992.75
2026-07-14T22:40:00-05:00,29990.75,29994.25,29990.5,29993
2026-07-14T22:41:00-05:00,29991.5,30001,29991.25,30000
2026-07-14T22:42:00-05:00,30000.5,30002,29989.75,29991
2026-07-14T22:43:00-05:00,29990.75,29993.75,29988.5,29993.75
2026-07-14T22:44:00-05:00,29992.25,29992.75,29987,29987.25
2026-07-14T22:45:00-05:00,29987.75,29994.75,29986,29994.75
2026-07-14T22:46:00-05:00,29992.75,29992.75,29990,29992.25
2026-07-14T22:47:00-05:00,29992.5,29996,29991.75,29995
2026-07-14T22:48:00-05:00,29995.5,30001.25,29990,30001.25
2026-07-14T22:49:00-05:00,30000.5,30008,29997.25,30006.75
2026-07-14T22:50:00-05:00,30008.5,30018,30008.5,30016.25
2026-07-14T22:51:00-05:00,30017.25,30017.25,30012.25,30014.25
2026-07-14T22:52:00-05:00,30013.75,30017.5,30012.5,30016.5
2026-07-14T22:53:00-05:00,30017,30018,30014,30015.75
2026-07-14T22:54:00-05:00,30015,30016,30013.5,30014.25
